agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
SOURCE AGENT,0,296,-284189.0,-3.75,122225.0,392.0
SOURCE AGENT,0,297,-283367.0,10.275,122305.0,80.0
SOURCE AGENT,0,298,-282873.0,2.3523809523809525,122515.0,210.0
SOURCE AGENT,0,299,-283178.0,-1.4055299539170507,122732.0,217.0
SOURCE AGENT,0,300,-282338.0,13.548387096774194,122794.0,62.0
SOURCE AGENT,0,301,-281516.0,10.275,122874.0,80.0
SOURCE AGENT,0,302,-280853.0,4.735714285714286,123014.0,140.0
SOURCE AGENT,0,303,-280296.0,3.7891156462585034,123161.0,147.0
SOURCE AGENT,0,304,-280132.0,1.1388888888888888,123305.0,144.0
SOURCE AGENT,0,305,-279807.0,1.7955801104972375,123486.0,181.0
SOURCE AGENT,0,306,-280666.0,-3.11231884057971,123762.0,276.0
SOURCE AGENT,0,307,-285479.0,-5.570601851851852,124626.0,864.0
SOURCE AGENT,0,308,-286468.0,-1.9584158415841584,125131.0,505.0
SOURCE AGENT,0,309,-286296.0,0.7319148936170212,125366.0,235.0
SOURCE AGENT,0,310,-286585.0,-1.4378109452736318,125567.0,201.0
SOURCE AGENT,0,311,-285749.0,12.666666666666666,125633.0,66.0
SOURCE AGENT,0,312,-287300.0,-2.7115384615384617,126205.0,572.0
SOURCE AGENT,0,313,-286842.0,3.1156462585034013,126352.0,147.0
SOURCE AGENT,0,314,-286121.0,8.792682926829269,126434.0,82.0
SOURCE AGENT,0,315,-286677.0,-1.188034188034188,126902.0,468.0
SOURCE AGENT,0,316,-287412.0,-2.1,127252.0,350.0
SOURCE AGENT,0,317,-286914.0,2.4174757281553396,127458.0,206.0
SOURCE AGENT,0,318,-286126.0,6.912280701754386,127572.0,114.0
SOURCE AGENT,0,319,-286423.0,-0.7297297297297297,127979.0,407.0
SOURCE AGENT,0,320,-286611.0,-0.473551637279597,128376.0,397.0
SOURCE AGENT,0,321,-286460.0,0.58984375,128632.0,256.0
SOURCE AGENT,0,322,-286075.0,3.1818181818181817,128753.0,121.0
SOURCE AGENT,0,323,-285383.0,6.2342342342342345,128864.0,111.0
SOURCE AGENT,0,324,-286192.0,-2.4892307692307694,129189.0,325.0
SOURCE AGENT,0,325,-287853.0,-8.882352941176471,129376.0,187.0
