agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
TRANSFER AGENT,0,176,-1018126.0,-0.9727047146401985,175702.0,403.0
TRANSFER AGENT,0,177,-1017907.0,0.7630662020905923,175989.0,287.0
TRANSFER AGENT,0,178,-1022348.0,-3.7476793248945146,177174.0,1185.0
TRANSFER AGENT,0,179,-1027298.0,-7.03125,177878.0,704.0
TRANSFER AGENT,0,180,-1030101.0,-2.7160852713178296,178910.0,1032.0
TRANSFER AGENT,0,181,-1048165.0,-6.169398907103825,181838.0,2928.0
TRANSFER AGENT,0,182,-1049836.0,-4.230379746835443,182233.0,395.0
TRANSFER AGENT,0,183,-1050600.0,-1.598326359832636,182711.0,478.0
TRANSFER AGENT,0,184,-1050427.0,0.7393162393162394,182945.0,234.0
TRANSFER AGENT,0,185,-1052804.0,-2.1589464123524067,184046.0,1101.0
TRANSFER AGENT,0,186,-1055586.0,-3.4218942189421893,184859.0,813.0
TRANSFER AGENT,0,187,-1055402.0,1.4838709677419355,184983.0,124.0
TRANSFER AGENT,0,188,-1059715.0,-11.848901098901099,185347.0,364.0
TRANSFER AGENT,0,189,-1062346.0,-7.208219178082191,185712.0,365.0
TRANSFER AGENT,0,190,-1065754.0,-7.590200445434299,186161.0,449.0
TRANSFER AGENT,0,191,-1069457.0,-8.284116331096197,186608.0,447.0
TRANSFER AGENT,0,192,-1070414.0,-2.0232558139534884,187081.0,473.0
TRANSFER AGENT,0,193,-1069983.0,2.4770114942528734,187255.0,174.0
TRANSFER AGENT,0,194,-1074851.0,-4.781925343811395,188273.0,1018.0
TRANSFER AGENT,0,195,-1074815.0,0.20809248554913296,188446.0,173.0
TRANSFER AGENT,0,196,-1081248.0,-2.8140857392825898,190732.0,2286.0
TRANSFER AGENT,0,197,-1081829.0,-1.4746192893401016,191126.0,394.0
TRANSFER AGENT,0,198,-1082092.0,-0.7050938337801609,191499.0,373.0
TRANSFER AGENT,0,199,-1082979.0,-2.2009925558312653,191902.0,403.0
TRANSFER AGENT,0,200,-1084307.0,-2.4277879341864717,192449.0,547.0
TRANSFER AGENT,0,201,-1084080.0,0.8136200716845878,192728.0,279.0
TRANSFER AGENT,0,202,-1091275.0,-7.425180598555212,193697.0,969.0
TRANSFER AGENT,0,203,-1092572.0,-5.922374429223744,193916.0,219.0
TRANSFER AGENT,0,204,-1091879.0,6.3,194026.0,110.0
TRANSFER AGENT,0,205,-1096845.0,-9.513409961685824,194548.0,522.0
TRANSFER AGENT,0,206,-1096875.0,-0.12552301255230125,194787.0,239.0
TRANSFER AGENT,0,207,-1100051.0,-6.178988326848249,195301.0,514.0
TRANSFER AGENT,0,208,-1101953.0,-4.44392523364486,195729.0,428.0
